country,ordered,weapon,weapon.des,year,years.delivered,delivered,comments
     ,4,P-2H Neptune,ASW aircraft,1976,1977,4,Second-hand
     ,8,Bell-212/UH-1N,helicopter,1977,1977,8,
     ,3,CH-47C Chinook,transport helicopter,1977,1980,3,$29 m deal; for use in Antarctica
     ,1,Citation-1,light transport ac,1977,1977,1,For aerial photography
     ,4,Merlin-3,light transport ac,1977,1977,4,Merlin-3 version
     ,3,Metro-2,transport aircraft,1977,1977,2,Merlin-4 version; for medevac
     ,50,Mk-37,ASW torpedo,1977,1984-1985,50,Second-hand; for Santa Cruz (TR-1700) submarines
     ,6,S-2E Tracker,ASW aircraft,1977,1978,6,Second-hand (but possibly modernized before delivery)
     ,1,SH-3D Sea King,ASW helicopter,1977,1978,1,S-61D-4 version
     ,16,T-34C Turbo Mentor,trainer aircraft,1977,1978,16,
     ,6,Bell-205/UH-1H,helicopter,1978,1978,6,BELL-205A-1 version.
     ,2,CH-47C Chinook,transport helicopter,1978,1980,2,
     ,2,KC-130H Hercules,tanker/transport ac,1978,1979,2,$30 m deal
     ,6,King Air,light transport ac,1978,1979,6,Deal worth $10 m
     ,14,PA-28 Cherokee,light aircraft,1978,1979,14,For training (incl of civilian pilots); PA-28-236 Dakota II version
     ,6,TPS-43,air search radar,1978,1978,6,
     ,5,C-360,petrol engine,1980,1980,5,For 5 BDX APC from Belgium
     ,4,Hughes-500D/MD,light helicopter,1980,1981,4,For training; assembled from kits in Argentina; planned production in Argentina cancelled
     ,1,Learjet-35/36,light transport ac,1980,1981,1,"For navigation systems control, survey and reconnaissance; Learjet-35A version"
    ,18,TFE-731,turbofan,1980,1988-1990,18,For 18 IA-63 trainer/combat aircraft produced in Argentina
     ,6,TPS-44,air search radar,1980,1981,6,
     ,1,Learjet-35/36,light transport ac,1981,1982,1,"For navigation systems control, survey and reconnaissance; Learjet-35A version"
    ,4,L-188 Electra,transport aircraft,1982,1983,4,Second-hand; 1 more delivered for spare parts only; modified in Argentina for MP
     ,1,Marsea,cargo ship,1987,1987,1,Second-hand merchant ship; incl for use as OPV
     ,3,APS-128,MP aircraft radar,1988,1990,3,For 3 C-212-300MPA MP aircraft
     ,3,MD-500E,light helicopter,1989,1990,3,MD-530F version
     ,1,PA-31 Navajo,light transport ac,1989,1990,1,For navaid calibration
     ,10,TPE-331,turboprop,1989,1995-2002,10,For modernization of 5 S-2E ASW aircraft to S-2ET in Israel
     ,25,Bell-205/UH-1H,helicopter,1992,1992-2001,25,Second-hand; aid
     ,3,C-130B Hercules,transport aircraft,1992,1994,3,Second-hand; aid
     ,2,C-130B Hercules,transport aircraft,1992,1992,2,Second-hand
     ,10,OV-1 Mohawk,reconnaissance ac,1992,1992-1995,10,Second-hand; OV-1D version; 13 more for spares only
  ,1,Navajo/ATF,tug,1993,1994,1,Second-hand; aid; for use as OPV; Argentinian designation Irigoyen
    ,4,RDR-1500,MP aircraft radar,1993,1996,4,For 4 AS-555 helicopters from France
     ,3,S-2E Tracker,ASW aircraft,1993,1995,3,Second-hand; S-2G version; may incl some for spares only
     ,36,A-4AR Skyhawk,FGA aircraft,1994,1997-2000,36,Second-hand A-4M/OA-4M and TA-4F versions modernized to 32 A-4AR and 4 TA-4AR versions (incl 8 modernized in USA and 28 in Argentina with US components); $208-282 m deal
     ,8,APS-94,AGS radar,1995,1997,8,Second-hand; for use on OV-1D reconnaissance aircraft
    ,16,Bell-205/UH-1H,helicopter,1996,1997-2000,16,Second-hand; aid
     ,2,Model-300,light helicopter,1996,1996,2,Schweizer-300C version; for Coast Guard
     ,6,P-3B Orion,ASW aircraft,1996,1998-1999,6,Second-hand; aid; 2 more delivered for spares only
     ,1,Boeing-707,transport aircraft,1997,1997,1,Second-hand
     ,2,Schweizer-330,light helicopter,1997,1997,2,For coast guard; for training
     ,1,Learjet-60,light transport ac,1998,1998,1,For military VIP transport
 ,1,TFE-731,turbofan,1998,1999,1,For 1 IA-63 trainer/combat aircraft produced in Argentina
     ,25,M-106,self-propelled mortar,1999,2000,25,Second-hand; 'EDA' aid
     ,57,M-113,APC,1999,2000,57,Second-hand; aid
     ,20,M-113,APC,1999,2000,20,Second-hand; aid; M-577 CP version
     ,42,BGM-71 TOW,anti-tank missile,2000,2002-2003,42,BGM-71E TOW-2A version
     ,200,AIM-9L Sidewinder,SRAAM,2001,2002-2003,200,AIM-9L version; for A-4AR combat aircraft
     ,2,Model-300,light helicopter,2001,2001,2,Schweizer-300C version; for Coast Guard
     ,1,SA-315B Lama,light helicopter,2001,2001,1,Second-hand; incl for SAR
     ,6,TFE-731,turbofan,2001,2009,6,For 6 AT-63 (Phase-2) trainer/combat aircraft produced in Argentina
     ,2,TPS-43,air search radar,2003,2004,2,Second-hand; aid
    ,3,TPS-43,air search radar,2004,2004,3,Second-hand; $2 m deal
    ,9,UH-1H Huey-2,helicopter,2004,2005-2008,9,Argentinian UH-1H rebuilt to Huey-2; incl 8 rebuilt in Argentina with kits from USA
     ,5,Bell-205/UH-1H,helicopter,2006,2007,5,Second-hand; 1 more for spares only
     ,11,UH-1H Huey-2,helicopter,2006,2010-2021,9,Argentinian UH-1H rebuilt to Huey-2 in Argentina with kits from USA (possibly incl production of components in Argentina)
     ,4,S-61/H-3A Sea King,transport helicopter,2007,2008-2009,4,Second-hand; $18-22 m deal; modernized before delivery; UH-3H version; 2 more for spares only
  ,5,Bell-206/OH-58,light helicopter,2009,2011-2012,5,Bell-206B3 version; for training
     ,11,TFE-731,turbofan,2009,2012-2016,11,For modernization of 11 AI-63 Pampa trainer/combat aircraft to AT-63 Pampa-2 trainer/combat; TFE-731-40R version
    ,1,Bell-412,helicopter,2011,2013,1,Bell-412EP version; from Canadian production line
     ,6,TFE-731,turbofan,2013,2019-2020,6,For 6 AT-63 Pampa-3 trainer/combat aircraft produced in Argentina
     ,1,Bell-412,helicopter,2014,2015,1,Part of $17 m deal; Bell-412EP version from Canadian production line
     ,1,Bell-412,helicopter,2014,2015,1,Second-hand; part of $17 m deal; Bell-412EP version
     ,1,PA-28 Cherokee,light aircraft,2014,2015,1,
     ,2,C-212,transport aircraft,2015,2015,2,Second-hand; C-212-200 version
    ,2,Cessna-208 Caravan,light transport ac,2015,2015,2,Cessna-208B version
    ,1,Citation-2,light transport ac,2015,2015,1,Second-hand
    ,2,Cessna-208 Caravan,light transport ac,2016,2016,2,Cessna-208B version
     ,4,Bell-412,helicopter,2017,2017,4,Bell-412EP version; from Canadian production line
