country,ordered,weapon,weapon.des,year,years.delivered,delivered,comments
     ,2000,FGM-77 Dragon,anti-tank missile,1975,1977,2000,
     ,100,GBU-8 HOBOS,guided bomb,1975,1976,100,
     ,9,I-HAWK,SAM system,1975,1976-1978,9,Israeli HAWK SAM systems rebuilt to I-HAWK
     ,2,KC-130H Hercules,tanker/transport ac,1975,1976-1977,2,Israeli designation Karnaf
     ,450,M-60A1 Patton-2,tank,1975,1975-1976,450,Israeli designation Magach-6
     ,50,Mk-37,ASW torpedo,1975,1975,50,Second-hand but probably modernised before delivery to NT37 version
     ,7,Boeing-707,transport aircraft,1976,1977-1979,7,Incl for ECM
     ,4,E-2C Hawkeye,AEW&C aircraft,1976,1978,4,Israeli designation Daya
     ,4,F-15A Eagle,FGA aircraft,1976,1976,4,Second-hand; part of $625 m 'Peace Fox-2' deal; modernized before delivery; Israeli designation Baz
     ,21,F-15A Eagle,FGA aircraft,1976,1977-1979,21,Part of $625 m 'Peace Fox-2' deal; incl 2 F-15B; Israeli designation Baz
     ,700,M-113,APC,1976,1977-1979,700,M-113A1 version
     ,150,M-48A5 Patton,tank,1976,1977,150,Second-hand; Israeli designation Magach-5
     ,60,MIM-23A HAWK,SAM,1976,1977-1978,60,
     ,882,Redeye,portable SAM,1976,1977,882,
     ,828,AIM-9D Sidewinder,SRAAM,1977,1978-1980,828,MIM-72A Chaparral (SAM) version
     ,96,BGM-71 TOW,anti-tank missile,1977,1977-1978,96,BGM-71A TOW version
     ,200,AGM-45A Shrike,ARM,1978,1978,200,Incl for Keres anti-radar SSM system
     ,170,AIM-7F Sparrow,BVRAAM,1978,1979,170,For F-15 combat aircraft
     ,2,Bell-206/OH-58,light helicopter,1978,1984-1985,2,Bell-206B version
     ,10,Bell-206/OH-58,light helicopter,1978,1979,10,Bell-206B-3 version; Israeli designation Saifan
     ,15,F-15C Eagle,FGA aircraft,1978,1981-1982,15,'Peace Fox-3' deal; incl 6 F-15D; Israeli designation Akef
     ,75,F-16A,FGA aircraft,1978,1980-1982,75,$300 m offsets; incl 8 F-16B; Israeli designation Netz; sale allowed by USA after signing of Egypt-Israel peace treaty
     ,200,Harpoon Block-1,anti-ship missile,1978,1979-1985,200,"For Flagstaff-2 (Shimrit) and modernized Saar-1, Saar-2, Saar-3, Saar-4 (Reshef) and Saar-4.5 (Aliya and Romat) FAC"
     ,32,Hughes-500MD-TOW,combat helicopter,1978,1980-1981,32,$23 m deal; Israeli designation Lahatot
     ,60,MIM-23B HAWK,SAM,1978,1980,60,$5.4 m deal
     ,600,AGM-65 Maverick,ASM,1979,1980-1982,600,Deal worth $29 m
     ,20,AH-1S Cobra,combat helicopter,1979,1982-1985,20,
     ,18,AH-1S Cobra,combat helicopter,1979,1980-1981,18,
     ,600,AIM-9L Sidewinder,SRAAM,1979,1980-1981,600,
     ,5100,FGM-77 Dragon,anti-tank missile,1979,1980-1981,5100,$21 m deal
     ,6,I-HAWK,SAM system,1979,1980-1984,6,
     ,898,M-113,APC,1979,1981-1982,898,M-113A2 version; incl 98 M-577A2 CP version
     ,300,M-60A3 Patton-2,tank,1979,1980-1985,300,Israeli designation Magach-6
     ,25,M-88,ARV,1979,1981-1982,25,$19 m deal; M-88A1 version
     ,100,MIM-23B HAWK,SAM,1979,1980-1981,100,$9 m deal
     ,4,RU-21E,SIGINT aircraft,1979,1980,4,
     ,250,MIM-72C Chaparral,SAM,1980,1981,250,$12.1 m deal
     ,144,BGM-71 TOW,anti-tank missile,1981,1982,144,For Bell-209 helicopters
     ,100,GBU-15,guided bomb,1981,1982,100,
     ,75,M-109A1 155mm,self-propelled gun,1981,1983,75,M-109A1B version
     ,5,RC-12 Guardrail,SIGINT aircraft,1981,1983-1985,5,RC-12D Improved Guardrail-5 version; Israeli designation Kookiya
     ,1,Boeing-707,transport aircraft,1982,1983,1,Second-hand; modified in Israel for EW/ECM role
     ,11,F-15C Eagle,FGA aircraft,1982,1986,11,$510 m 'Peace Fox-3' deal; incl 2 F-15D; Israeli designation Akef
     ,15,Harpoon Block-1,anti-ship missile,1982,1983,15,UGM-84 version; for modernized Gal submarines
     ,200,MIM-23B HAWK,SAM,1982,1983-1984,200,$25 m deal
     ,150,AIM-7M Sparrow,BVRAAM,1983,1986-1987,150,$52 m deal; for F-15 combat aircraft
     ,200,AIM-9L Sidewinder,SRAAM,1983,1985-1986,200,$16 m deal
     ,6,Bell-206L LongRanger,light helicopter,1983,1984,6,Bell-206L-3 version; Israeli designation Saifanit
     ,75,F-16C,FGA aircraft,1983,1986-1988,75,$2.2 b 'Peace Marble-2' deal; F-16 Block-30 version; incl 24 F-16D; Israeli designation Barak and Brakeet
     ,4,TPQ-37 Firefinder,arty locating radar,1983,1986,4,Israeli designation Nurit
     ,5,L-88 LASS,air search radar,1984,1985,5,
     ,8,Mastiff,UAV,1984,1984-1985,8,Mastiff Mk-3 version
     ,2,Mk-15 Phalanx,naval gun,1984,1985,2,For modernization of 2 Saar-4.5 (Hetz) FAC
     ,2,AS365/AS565 Panther,helicopter,1985,1985,2,Second-hand; SA-366G (HH-65 Dolphin) version
     ,508,BGM-71 TOW,anti-tank missile,1985,1985,508,Replacing 508 delivered by Israel to Iran as part of US Iran-Contra deals
     ,8,Mk-15 Phalanx,naval gun,1985,1987-1988,8,For modernization of 8 Saar-4 (Reshef) FAC
     ,3,Mk-15 Phalanx,naval gun,1986,1991-1995,3,For 4 Saar-4.5 (Hetz) FAC produced in Israel and modernization of 2 older Saar-4.5
     ,53,APG-76,combat ac radar,1987,1989-1994,53,For modernization of F-4E combat aircraft to F-4 Phantom-2000
     ,5,F-15C Eagle,FGA aircraft,1988,1992,5,$265 m 'Peace Fox-4' deal; F-15D; Israeli designation Akef
     ,60,F-16C,FGA aircraft,1988,1991-1993,60,F-16 Block-40 version; incl 30 F-16D version; Israeli designation Barak and Brakeet
     ,20,AAQ-14 LANTIRN,aircraft EO system,1989,1991-1992,20,AAQ-19 Sharpshooter version
     ,18,AH-64A Apache,combat helicopter,1989,1990-1991,18,$285 m deal; Israeli designation Peten-1
     ,50,Harpoon Block-1,anti-ship missile,1989,1994-1997,50,For Saar-5 (Eilat) corvettes
     ,15,Harpoon Block-1,anti-ship missile,1989,1991,15,For Saar-4.5 (Hertz) FAC
     ,3,Saar-5,corvette,1989,1994-1995,3,Built in USA to Israeli design; some weapon systems fitted in Israel; Israeli designation Eilat
     ,525,AGM-114A HELLFIRE,anti-tank missile,1990,1990-1991,525,AGM-114C and AG-114F versions; for AH-64A helicopters
     ,300,AIM-9M Sidewinder,SRAAM,1990,1993-1995,300,$32 m deal; AIM-9S version
     ,15,F-15A Eagle,FGA aircraft,1990,1991,15,Second-hand; lease; incl 5 F-15B; Israeli designation Baz
     ,4,King Air,light transport ac,1990,1990,4,King Air B-200 version; incl for ELINT/SIGINT; Israeli designation Zufit
     ,64,MIM-104C PAC-2,SAM,1990,1991,64,Part of $117 m deal
     ,2,Patriot,SAM system,1990,1991,2,Deal worth $117 m incl 64 missiles
     ,2,RC-12 Guardrail,SIGINT aircraft,1990,1991,2,RC-12K Guardrail Common Sensor version; Israeli designation Kookiya
     ,10,S-65A/CH-53 Stallion,transport helicopter,1990,1990-1991,10,Second-hand
     ,10,F-15A Eagle,FGA aircraft,1991,1992,10,Second-hand; Israeli designation Baz
     ,57,MIM-104C PAC-2,SAM,1991,1993,57,Part of $105 m deal
     ,1,Patriot,SAM system,1991,1993,1,Part of $105 m deal
     ,6,AH-64A Apache,combat helicopter,1992,1993,6,Second-hand; Israeli designation Peten-2
     ,18,AH-64A Apache,combat helicopter,1992,1993,18,Second-hand; Israeli designation Peten-2
     ,10,AAQ-13 LANTIRN,combat ac radar,1993,1995,10,For F-16 combat aircraft
     ,6,M-113,APC,1993,1995,6,Second-hand; M-577A2 CP version
     ,3,M-113,APC,1993,1994,3,M-577A2 CP version
     ,450,M-901 ITV,tank destroyer,1993,1994-1995,450,Second-hand; aid
     ,10,S-70/UH-60A,helicopter,1993,1994,10,Second-hand; Israeli designation Yanshuf; aid
     ,344,Stinger,portable SAM,1993,1993-1996,344,
     ,21,F-15E Strike Eagle,FGA aircraft,1994,1998-1999,21,$1.76-2 b deal (financed by US 'FMF' aid; offsets $1 b); F-15I version; Israeli designation Ra'am
     ,50,F-16A,FGA aircraft,1994,1994-1995,50,Second-hand; 'Peace Marble-4' deal; aid; incl 14 F-16B; Israeli designation Netz
     ,6,M-270 MLRS 227mm,self-propelled MRL,1994,1994,6,Deal incl 726 rockets and 720 training rockets
     ,20,TB-20 Trinidad,light aircraft,1994,1996,20,Israeli designation Paskosh
     ,250,AGM-114K HELLFIRE,anti-tank missile,1995,1998-1999,250,$45 m deal
     ,16,AH-1F Cobra,combat helicopter,1995,1996-1997,16,Second-hand; aid; AH-1E version; no. could be between 8 and 28
     ,4,F-15E Strike Eagle,FGA aircraft,1995,1999,4,$253 m deal; F-15I version; Israeli designation Ra'am
     ,28,M-113,APC,1995,1995,28,Second-hand; M-577A2 CP version; aid
     ,58,M-270 MLRS 227mm,self-propelled MRL,1995,1995-1999,58,
     ,15,S-70/UH-60L,helicopter,1997,1998,15,$110 m deal; S-70A-50 Peace Hawk version; Israeli designation Yanshuf-2
     ,30,AAQ-13 LANTIRN,combat ac radar,1998,2000-2001,30,For F-15I combat aircraft
     ,30,AAQ-14 LANTIRN,aircraft EO system,1998,2000-2001,30,For F-15I combat aircraft
     ,64,AIM-120B AMRAAM,BVRAAM,1998,1998-2001,64,$28 m deal
     ,16,Harpoon Block-1,anti-ship missile,1998,2001-2002,16,$26 m deal
     ,5,King Air,light transport ac,1998,2000,5,B200T version; Israeli designation Zufit-2; incl for EW and ELINT/SIGINT
     ,300,16V-92,diesel engine,1999,2000-2002,300,For Achzarit Mk-2 IFV produced in Israel
     ,42,AIM-120B AMRAAM,BVRAAM,1999,2001-2002,42,
     ,160,MIM-72C Chaparral,SAM,1999,1999,160,Second-hand; aid; MIM-72E version
     ,480,AGM-114L HELLFIRE,anti-tank missile,2000,2005-2006,480,AGM-114L3 version; for AH-64D helicopters
     ,50,AVDS-1790,diesel engine,2000,2004-2005,50,For Namer APC produced in Israel
     ,1,Boeing-707,transport aircraft,2000,2001,1,Second-hand but modernized and modified to tanker aircraft after delivery
     ,700,JDAM,guided bomb,2000,2000-2001,700,$45 m deal
     ,40,AGM-142A/Popeye-1,ASM,2001,2002-2003,40,$31 m deal; AGM-142F-1/2 versions; designed by Israel but produced in and bought from USA to use US 'FMF' aid
     ,30,AH-1F Cobra,combat helicopter,2001,2002-2005,30,Second-hand; aid
     ,12,AH-64D Apache,combat helicopter,2001,2005-2006,12,$509 m deal (financed by US 'FMF' aid); incl 3 Israeli AH-64A rebuilt to AH-64D; Israeli designation Sharaf
     ,48,AIM-120C AMRAAM,BVRAAM,2001,2003-2004,48,
     ,3,Gulfstream-5,light transport ac,2001,2005-2007,3,$174-206 m deal (partly financed by US 'FMF' aid); G-550 version; modified in Israel to G-550 SEMA Shavit ELINT aircraft; delivery 2005-2007
     ,1000,JDAM,guided bomb,2001,2002,1000,
     ,8,King Air,light transport ac,2001,2002-2003,8,B200CT version; modified in Israel for SIGINT; Israeli designation Zufit-3
     ,24,S-70/UH-60L,helicopter,2001,2002,24,$212 m deal; S-70A-55 version; Israeli designation Yanshuf-3
     ,400,BGM-71F TOW-2B,anti-tank missile,2002,2003-2004,400,Part of $52 m deal; TOW-2A/TOW-2B version
     ,2030,BGM-71 TOW,anti-tank missile,2002,2003-2004,2030,$80 m deal; TOW-2A version
     ,120,HMMWV Up-Armoured,APV,2002,2003-2004,120,M-1114 version; for use in West Bank and Gaza Strip Palestinian areas
     ,1000,JDAM,guided bomb,2002,2003,1000,$27 m deal
     ,6,King Air,light transport ac,2002,2003,6,B200CT version; for training; Israeli designation Zufit-5
     ,54,M-106,self-propelled mortar,2002,2002,54,Probably Second-hand; possibly incl some M-113 APCs
     ,15,M-113,APC,2002,2003,15,Second-hand; aid; XM-981 version
     ,2,G-550 AEW,AEW&C aircraft,2003,2007,2,Part of $473 m deal (partly financed by US 'FMF' aid); modified in Israel to Eitam AEW aircraft
     ,200,AGM-114K HELLFIRE,anti-tank missile,2004,2006,200,Part of $50 m deal; AGM-114K and AGM-114M version
     ,6,AH-64D Apache,combat helicopter,2004,2006,6,$200 m deal; Israeli AH-64A rebuilt to AH-64D; Israeli designation Saraf
     ,6,APG-78 Longbow,combat heli radar,2004,2006,6,For AH-64D combat helicopters
     ,18,Bonanza,light aircraft,2004,2004-2005,18,$11 m deal; option on 6 more
     ,840,JDAM,guided bomb,2004,2005,840,$17.5 m deal
     ,500,Paveway,guided bomb,2004,2005-2006,500,GBU-27 Paveway-3 version
     ,42,AH-1F Cobra,combat helicopter,2005,2006,42,Second-hand; aid
     ,100,GBU-28,guided bomb,2005,2006,100,
     ,50,M-106A3,self-propelled mortar,2006,2007-2009,50,Second-hand; M-1064A3 version; 2 more for spare parts only
     ,50,GBU-28,guided bomb,2007,2009,50,
     ,2350,JDAM,guided bomb,2007,2007-2008,2350,Replacing JDAM used in 2006 war against Hezbollah in Lebenon
     ,1000,GBU-39 SDB,guided bomb,2008,2010-2012,1000,$77 m deal; Israeli designation Sharp Hail
     ,20,PC-9,trainer aircraft,2008,2009-2010,20,$124 m deal (funded by US 'FMF' aid); T-6A Texan-2 version; Israeli designation Efroni
     ,3450,JDAM,guided bomb,2009,2010-2012,3450,
     ,100,16V-92,diesel engine,2010,2011-2012,100,$21 m deal; for modernization of Achzarit IFV
     ,1,Boeing-707,transport aircraft,2010,2011,1,Second-hand but modernized and modified to tanker aircraft after delivery
     ,3,C-130J Hercules,transport aircraft,2010,2013-2015,3,$250 m deal; Israeli designation Samson
     ,150,JDAM,guided bomb,2010,2010,150,LJDAM version
     ,3,AH-64D Apache,combat helicopter,2011,2012,3,Israeli AH-64A rebuilt to AH-64D; Israeli designation Saraf
     ,160,M-106A3,self-propelled mortar,2011,2012,160,Second-hand; M-1064A2 version with 120mm mortar
     ,1,PC-9,trainer aircraft,2011,2012,1,T-6A Texan-2 version; Israeli designation Efroni
     ,60,F-124,turbofan,2012,2014-2016,60,$735 m deal; funded by 'FMF' aid; for 30 M-346 trainer aircraft from Italy
     ,3450,GBU-39 SDB,guided bomb,2012,2015-2017,3450,
     ,1500,JDAM,guided bomb,2012,2013,1500,
     ,300,M-113,APC,2012,2013-2015,300,Second-hand; aid; M-577A2 version
     ,4,C-130J Hercules,transport aircraft,2013,2016-2018,4,Israeli designation Samson
     ,2701,JDAM,guided bomb,2013,2014-2015,2701,$66 m deal
     ,60,AAQ-14 LANTIRN,aircraft EO system,2014,2015,60,Second-hand; aid
     ,28,AIM-9X Sidewinder,BVRAAM,2014,2016-2020,28,AIM-9X Block-2 and Block-3 versions; possibly incl for evaluation
     ,3000,JDAM,guided bomb,2014,2015-2016,3000,$66 m. deal
     ,100,16V-92,diesel engine,2015,2016-2017,100,$16 m deal; for modernization of Achzarit IFV
     ,100,JDAM,guided bomb,2015,2016,100,
     ,15,M-270 MLRS 227mm,self-propelled MRL,2015,2015,15,Second-hand
     ,700,Paveway,guided bomb,2015,2018-2019,700,
     ,25,APG-82,combat ac radar,2016,,,'FMF' aid; APG-82(V)1 version for modernization of 25 F-15I combat aircraft
     ,9,F-15C Eagle,FGA aircraft,2016,2016,9,Second-hand; aid; F-15D version; possibly (partly) for spare parts
     ,1000,GMLRS,guided rocket,2016,2017-2018,1000,
     ,1588,JDAM,guided bomb,2016,2019,1588,
     ,50,16V-92,diesel engine,2017,2018-2019,50,$10.5 m deal; for modernization of Achzarit IFV; 'FMF' aid
     ,4100,GBU-39 SDB,guided bomb,2017,2018-2021,3186,
     ,1,Gulfstream-5,light transport ac,2017,,,G-550 version; modified in Israel to Oron AGS aircraft
     ,8,S-70B/SH-60B Seahawk,ASW helicopter,2017,,,Second-hand but possibly modernized before delivery; SH-60F version; delivery planned 2022
     ,12,CH-53K King Stallion,transport helicopter,2021,,,
     ,,GBU-39 SDB,guided bomb,2021,,,Part of USD735 m deal
     ,,JDAM,guided bomb,2021,,,Part of USD735 m deal
     ,2,KC-46A Pegasus,tanker/transport ac,2021,,,
     ,4,T-408,turboshaft,2021,,,Spare engines for CH-53K helicopters
,,,,,,,
Italy,,,,,,,
,36,Adjutant,minesweeper,1952,1953-1957,36,'MDAP' and 'MAP' aid; incl 19 produced in Italy; Italian designations Abete and Agave
     ,300,Bell-47/OH-13,light helicopter,1953,1954-1962,300,Incl for police; Bell-47G and Bell-47J version; Italian designation AB-47
     ,65,F-86D Sabre,fighter aircraft,1953,1955-1957,65,F-86K version; 63 assembled/produced in Italy; incl 2 F-86K version prototypes transferred to Italy after flight testing
     ,900,AIM-9B Sidewinder,SRAAM,1960,1962-1965,900,For F-104G combat aircraft; from European production line in FRG; incl production of components in Italy
     ,60,Bell-204B/UH-1B,helicopter,1960,1962-1966,60,Bell-204B version; Italian designation AB-204B
     ,3697,M-113,APC,1960,1964-1979,3697,M-113A1 version; incl M-577A1 CP and M-578 ARV version
     ,34,AB-204AS,ASW helicopter,1961,1963-1966,28,Italian designation AB-204AS
     ,155,F-104G Starfighter,FGA aircraft,1961,1962-1965,155,Incl 154 assembled/produced under licence in Italy; incl 50 financed by US 'MAP' aid
     ,250,Mk-44,ASW torpedo,1962,1963-1967,250,Incl assembly/production in Italy
     ,200,M-60A1 Patton-2,tank,1964,1968-1973,200,
     ,28,Bell-205/UH-1D,helicopter,1965,1966-1970,28,Produced under licence in Italy as AB-205
     ,24,SH-3D Sea King,ASW helicopter,1965,1969-1974,24,ASH-3D version
     ,205,F-104S Starfighter,FGA aircraft,1966,1969-1979,205,
     ,26,CH-47C Chinook,transport helicopter,1968,1973-1975,26,Produced under licence in Italy
     ,221,M-109 155mm,self-propelled gun,1968,1969-1975,221,Version with Italian gun
     ,1000,AIM-7E Sparrow,BVRAAM,1969,1970-1975,1000,For F-104S combat aircraft
     ,165,Bell-206/OH-58,light helicopter,1969,1970-1972,165,Incl some 15 for police; AB-206A (Bell-206A) version
     ,84,Bell-205/UH-1H,helicopter,1970,1971-1977,84,Produced under licence in Italy as AB-205A; incl 6 for Carabinieri (police)
     ,20,S-61R,transport helicopter,1972,1976-1982,20,For SAR; AS-61D version
     ,72,T64,turboprop,1972,1978-1984,72,For 36 G-222 transport aircraft produced in Italy; T-64-GE-P4D version
     ,30,Bell-206/OH-58,light helicopter,1973,1974-1983,30,For police; AB-206A (Bell-206A) version
     ,4,DE-1160,ASW sonar,1974,1977-1980,4,For 4 Lupo frigates produced in Italy; DE-1160B version
     ,8,GMT,diesel engine,1974,1977-1980,8,For 4 Lupo frigates produced in Italy
     ,28,LM-2500,gas turbine,1974,1977-1985,28,For 1 Garibaldi aircraft carrier and 4 Lupo and 8 Maestrale frigates produced in Italy
     ,55,Bell-212/UH-1N,helicopter,1975,1975-1982,55,Produced under licence in Italy and modified to Italian-developed AB-212ASW ASW version
     ,62,M-109A1 155mm,self-propelled gun,1977,1978-1981,62,M-109A1B version
     ,6,SH-3D Sea King,ASW helicopter,1978,1979-1980,6,Original order for 9 reduced to 6; ASH-3D version
     ,34,Bell-412,helicopter,1980,1983-2007,34,AB-412SP/HP/EP and AB-412 Griffon version; incl 10 for coast guard
     ,12,Bell-212/UH-1N,helicopter,1981,1982-1984,12,Produced under licence in Italy as AB-212
     ,2,Hughes-500D/MD,light helicopter,1981,1982,2,Italian designation NH-500MD; more produced for Police and civilian customers
     ,8,DE-1167LF,ASW sonar,1982,1987-1991,8,For 8 Minerva corvettes produced in Italy
     ,6,SH-3D Sea King,ASW helicopter,1982,1983-1984,6,ASH-3D version
     ,21,Bell-212/UH-1N,helicopter,1983,1984-1986,21,For SAR; produced under licence in Italy as AB-212
     ,9,Bell-212/UH-1N,helicopter,1984,1985-1986,9,Produced under licence in Italy and modified to Italian-developed AB-212ASW ASW version
     ,22,M-270 MLRS 227mm,self-propelled MRL,1985,1990-1993,22,From European production line (incl production of components in Italy and other European countries and assembly in Italy)
     ,6,Bell-206/OH-58,light helicopter,1986,1986-1989,6,For police; AB-206B (Bell-206B) version
     ,11,Bell-212/UH-1N,helicopter,1986,1986-1989,11,For SAR; produced under licence in Italy as AB-212
     ,4,LM-2500,gas turbine,1986,1993,4,For 2 De la Penne destroyers produced in Italy
     ,50,MD-500E,light helicopter,1987,1987-1993,50,For training; Italian designation NH-500E
     ,13,S-61R,transport helicopter,1990,1991-1993,13,AS-61D version
     ,13,AV-8B Harrier-2 Plus,FGA aircraft,1992,1995-1997,13,$522 m deal; assembled from kits in Italy; for use on aircraft-carrier
     ,60,T-700,turboshaft,1997,2001-2005,60,T-700-T-6A/3 version for 20 EH-101 helicopters produced in Italy
     ,16,LM-2500,gas turbine,2000,2007-2019,16,"Produced in Italy; for 1 Cavour aircraft carrier, 2 Doria (Horizon) destroyers and 8 Bergamini (FREMM) frigates produced in Italy"
     ,940,JDAM,guided bomb,2001,2002-2003,940,
     ,4,KC-767 GTTA,tanker/transport ac,2002,2011-2012,4,$619 m deal (offsets up to $1.1 b incl assembly of 3 in Italy)
     ,92,T-700,turboshaft,2003,2011-2021,78,T-700-T-6E1 version for 46 NH90 NFH (SH-90A) ASW helicopters produced in Italy; produced under licence
     ,60,F-35A Lightning-2,FGA aircraft,2006,2015-2021,15,Part of EUR7.5 b deal (incl production under licence in Italy); originally 69 planned but reduced for financial reasons
     ,30,F-35B Lightning-2,FGA aircraft,2006,2018-2021,4,Part of EUR7.5b deal (incl production under licence in Italy); incl for use on aircraft carriers; originally 62 planned but reduced for financial reasons
     ,160,AGM-88E AARGM,ARM,2009,2017-2021,134,Mainly Italian AGM-88 rebuilt to AGM-88E AARGM version (incl production of components in Italy)
     ,16,CH-47F Chinook,transport helicopter,2009,2014-2018,16,EUR900 m ($1.2 b) deal; incl production of components and assembly in Italy); ICH-47F version; option on 4 more
     ,2,G-550 AEW,AEW&C aircraft,2012,2016-2018,2,$750 m deal (incl AEW system from Israel and $41 m for production of components in Italy); ordered via Israel (offsets for Israeli order of M-346 trainer aircraft); Italian designation E-550A
     ,864,GMLRS,guided rocket,2012,2013-2017,864,For use with MLRS MRL; incl production of components in Italy; 12.5% of development financed by Italy
     ,7,LM-2500,gas turbine,2016,2021,1,LM-2500+G4 version; produced under licence in Italy; for 3 PPA OPV and 4 PPA frigates produced in Italy
     ,50,M-4 Sherman,tank,1948,1950,50,Second-hand
     ,100,P-51D Mustang,fighter aircraft,1949,1950-1951,100,Second-hand
     ,3,Cannon,frigate,1950,1951,3,"Second-hand, Italian designation Aldebaran Class"
     ,36,M-115 203mm,towed gun,1950,1951-1952,36,Second-hand
     ,4,Mk-32 127mm,naval gun,1950,1958,4,Second-hand; for 2 Impetuoso Class destroyers produced in Italy
     ,75,P-47D Thunderbolt,FGA aircraft,1950,1950-1951,75,Second-hand; 'MDAP' aid
     ,56,PA-18 Super Cup,light aircraft,1950,1951,56,"'MDAP' aid, L-18C version"
     ,36,SB-2C Helldiver,bomber aircraft,1950,1950,36,Second-hand; 'MDAP' aid; no. delivered could be 46
     ,50,T-6 Texan,trainer aircraft,1950,1951,50,Second-hand
     ,2,Benson,destroyer,1951,1951,2,Second-hand; 'MDAP' aid; Italian designation Artigliere
     ,250,F-84 Thunderjet,FGA aircraft,1951,1952-1953,250,F-84G version
     ,6,LSSL,gunboat,1951,1951,6,Second-hand; 'MDAP' aid; Italian designation Alano Class
     ,6,Mk-32 127mm,naval gun,1951,1954-1955,6,Second-hand; for modernization of 2 San Giorgio Class destroyers
     ,8,SPS-6,air search radar,1951,1955-1959,8,For 4 Canopo frigates and 2 Impetuoso destroyers produced in Italy and modernization of 2 San Giorgio destroyers
     ,8,SQS-11,ASW sonar,1951,1955-1959,8,For 4 Canopo frigates and 2 Impetuoso destroyers produced in Italy and modernization of 2 San Giorgio destroyers
     ,40,C-119 Packet,transport aircraft,1952,1954-1955,40,'MDAP' aid
     ,900,M-47 Patton,tank,1952,1952-1953,900,Aid
     ,6,Mk-25,fire control radar,1952,1955-1958,6,For 2 Impetuoso Class destroyers produced in Italy and modernization of 2 San Giorgio Class destroyers; for use with 40mm guns
     ,230,PA-18 Super Cup,light aircraft,1952,1953-1955,230,L-21B version
     ,22,PV-2 Harpoon,bomber/MP aircraft,1952,1952-1953,22,Second-hand; 'MDAP' aid
     ,2,SPG-34/SPG-50,fire control radar,1952,1958,2,For 2 Impetuoso destroyers produced in Italy
     ,100,M-26 Pershing,tank,1953,1953,100,Second-hand
     ,50,M-42 Duster,SPAAG,1953,1954-1957,50,
     ,55,T-33A Shooting Star,trainer aircraft,1953,1953-1959,55,'MDAP' aid
     ,2,Gato,submarine,1954,1954-1955,2,Second-hand; loan; Italian designation Da Vinci Class
     ,73,RF-84F Thunderflash,reconnaissance ac,1954,1955-1958,73,'MDAP' aid
     ,196,F-84F Thunderstreak,FGA aircraft,1955,1955-1958,196,MDAP' aid; possibly incl Second-hand (but maximum only used few years)
     ,179,F-86 Sabre,fighter aircraft,1955,1956-1957,179,Second-hand UK CL-13 Sabre-4 (F-86E(M)) returned to USA and transferred to Italy (maximum 4 years old); aid
     ,25,M-59 155mm,towed gun,1955,1956,25,Second-hand
     ,4,Aggressive,minesweeper,1956,1956-1957,4,'MDAP' aid; Italian designation Salmone
     ,6,HU-16B Albatross,MP aircraft,1956,1957-1958,6,Probably second-hand
     ,25,LVT-4,APC,1956,1957,25,Second-hand
     ,195,MIM-3 Nike Ajax,SAM,1956,1959-1960,195,
     ,1,Mk-32 127mm,naval gun,1956,1963,1,Second-hand; for 1 Impavido Class destroyer produced in Italy
     ,2,Mk-74 Tartar GMFCS,naval SAM system,1956,1963-1964,2,For 2 Impavido destroyers produced in Italy
     ,4,Nike Ajax/Hercules,SAM system,1956,1957-1958,4,For use with MIM-3 Nike Ajax missiles
     ,6,S-2A Tracker,ASW aircraft,1956,1957,6,Second-hand
     ,14,SH-34 Seabat,ASW helicopter,1956,1958-1962,14,Incl 5 HSS-1N and 6 SH-34J version
     ,1,Barnegat,OPV/support ship,1957,1957,1,Second-hand; 'MDAP' aid; Italian designation Cavezzale Class
     ,108,M-44A1 155mm,self-propelled gun,1957,1957-1958,108,
     ,150,M-55 203mm,self-propelled gun,1957,1958-1959,150,Second-hand
     ,50,MGR-1 Honest John,SSM launcher,1957,1959-1960,50,Incl for use with US nuclear warheads (under US control)
     ,3,MK-10 Terrier,naval SAM system,1957,1961-1964,3,For 2 Doria cruisers produced in Italy and modernization of 1 Garibaldi cruiser
     ,200,RIM-2E Terrier,SAM,1957,1962-1964,200,For Doria and modernized Garibaldi cruisers
     ,46,S-2A Tracker,ASW aircraft,1957,1958-1962,46,Second-hand
     ,8,SPS-12,air search radar,1957,1961-1964,8,"For 2 Doria cruisers, 4 Bergamini frigates and 2 Impavido destroyers produced in Italy"
     ,3,SPS-39,air search radar,1957,1961-1964,3,SPS-39A version for 2 Doria cruisers produced in Italy and modernization of 1 Garibaldi cruiser
     ,3,SPS-52,air search radar,1957,1963-1964,3,For 1 Doria Class cruiser and 2 Impavido Class destroyers produced in Italy
     ,1,SPS-6,air search radar,1957,1961,1,For modernization of 1 Garibaldi cruiser
     ,2,SQS-23,ASW sonar,1957,1963-1964,2,For 2 Impavido destroyers produced in Italy
     ,4,SQS-40,ASW sonar,1957,1961-1962,4,For 4 Bergamini frigates produced in Italy
     ,400,AIM-9B Sidewinder,SRAAM,1958,1958-1959,400,For F-86K combat aircraft
     ,8,C-119 Packet,transport aircraft,1958,1958,8,Second-hand
     ,1,CV-440,transport aircraft,1958,1959,1,
     ,480,MIM-14 Nike Hercules,SAM,1958,1959-1961,480,'MAP' aid
